station_code,station_name,agency,subzone_kml,subzone_name,region_name,region_num
DT3,HILLVIEW,MRT,184,NATURE RESERVE,WEST REGION,4
DT3,HILLVIEW,MRT,188,HILLVIEW,WEST REGION,4
DT30,BEDOK RESERVOIR,MRT,215,BEDOK RESERVOIR,EAST REGION,1
DT31,TAMPINES WEST,MRT,179,TAMPINES WEST,EAST REGION,1
DT32,TAMPINES,MRT,185,TAMPINES EAST,EAST REGION,1
DT33,TAMPINES EAST,MRT,185,TAMPINES EAST,EAST REGION,1
DT34,UPPER CHANGI,MRT,154,XILIN,EAST REGION,1
DT34,UPPER CHANGI,MRT,196,SIMEI,EAST REGION,1
DT35,EXPO,MRT,154,XILIN,EAST REGION,1
DT4,HUME,MRT,184,NATURE RESERVE,WEST REGION,4
DT4,HUME,MRT,188,HILLVIEW,WEST REGION,4
DT5,BEAUTY WORLD,MRT,152,ANAK BUKIT,CENTRAL REGION,0
DT6,KING ALBERT PARK,MRT,98,HOLLAND ROAD,CENTRAL REGION,0
DT6,KING ALBERT PARK,MRT,153,SWISS CLUB,CENTRAL REGION,0
DT7,SIXTH AVENUE,MRT,148,CORONATION ROAD,CENTRAL REGION,0
DT8,TAN KAH KEE,MRT,148,CORONATION ROAD,CENTRAL REGION,0
DT9,BOTANIC GARDENS,MRT,139,TYERSALL,CENTRAL REGION,0
EW1,PASIR RIS,MRT,220,PASIR RIS CENTRAL,EAST REGION,1
EW10,KALLANG,MRT,130,BOON KENG,CENTRAL REGION,0
EW11,LAVENDER,MRT,117,LAVENDER,CENTRAL REGION,0
EW12,BUGIS,MRT,47,BUGIS,CENTRAL REGION,0
EW12,BUGIS,MRT,48,VICTORIA,CENTRAL REGION,0
EW13,CITY HALL,MRT,88,CITY HALL,CENTRAL REGION,0
EW14,RAFFLES PLACE,MRT,5,RAFFLES PLACE,CENTRAL REGION,0
EW15,TANJONG PAGAR,MRT,37,TANJONG PAGAR,CENTRAL REGION,0
EW15,TANJONG PAGAR,MRT,41,CECIL,CENTRAL REGION,0
EW15,TANJONG PAGAR,MRT,40,MAXWELL,CENTRAL REGION,0
EW16,OUTRAM PARK,MRT,46,SINGAPORE GENERAL HOSPITAL,CENTRAL REGION,0
EW16,OUTRAM PARK,MRT,299,PEOPLE'S PARK,CENTRAL REGION,0
EW16,OUTRAM PARK,MRT,18,PEARL'S HILL,CENTRAL REGION,0
EW16,OUTRAM PARK,MRT,38,EVERTON PARK,CENTRAL REGION,0
EW16,OUTRAM PARK,MRT,3,CHINATOWN,CENTRAL REGION,0
EW17,TIONG BAHRU,MRT,9,TIONG BAHRU STATION,CENTRAL REGION,0
EW18,REDHILL,MRT,21,REDHILL,CENTRAL REGION,0
EW19,QUEENSTOWN,MRT,89,MEI CHIN,CENTRAL REGION,0
EW19,QUEENSTOWN,MRT,86,MARGARET DRIVE,CENTRAL REGION,0
EW2,TAMPINES,MRT,185,TAMPINES EAST,EAST REGION,1
EW20,COMMONWEALTH,MRT,67,TANGLIN HALT,CENTRAL REGION,0
