subzone_kml,subzone_no,subzone_n,led_no,region_no,region_n
310,5,ADMIRALTY,7,2,NORTH REGION
311,1,LIM CHU KANG,38,2,NORTH REGION
312,1,SIMPANG NORTH,6,2,NORTH REGION
313,9,SENOKO SOUTH,8,2,NORTH REGION
314,4,SEMBAWANG NORTH,4,2,NORTH REGION
315,2,TANJONG IRAU,2,2,NORTH REGION
316,9,YISHUN WEST,23,2,NORTH REGION
317,1,WOODLANDS REGIONAL CENTRE,20,2,NORTH REGION
319,3,SIMPANG SOUTH,11,2,NORTH REGION
320,2,NORTHLAND,12,2,NORTH REGION
321,2,MIDVIEW,15,2,NORTH REGION
322,6,WOODLANDS WEST,21,2,NORTH REGION
323,2,SEMBAWANG SPRINGS,18,2,NORTH REGION
324,1,KRANJI,28,2,NORTH REGION
326,2,MANDAI EAST,25,2,NORTH REGION
327,7,NEE SOON,35,2,NORTH REGION
110,1,ANG MO KIO TOWN CENTRE,30,3,NORTH-EAST REGION
111,6,KEBUN BAHRU,31,3,NORTH-EAST REGION
112,2,SERANGOON NORTH IND ESTATE,35,3,NORTH-EAST REGION
158,9,DEFU INDUSTRIAL PARK,44,3,NORTH-EAST REGION
162,6,KOVAN,40,3,NORTH-EAST REGION
163,3,CHONG BOON,39,3,NORTH-EAST REGION
164,4,SERANGOON GARDEN,41,3,NORTH-EAST REGION
165,1,HOUGANG CENTRAL,33,3,NORTH-EAST REGION
170,2,CHENG SAN,29,3,NORTH-EAST REGION
171,7,SEMBAWANG HILLS,32,3,NORTH-EAST REGION
177,6,SERANGOON CENTRAL,43,3,NORTH-EAST REGION
181,3,SERANGOON NORTH,38,3,NORTH-EAST REGION
186,7,LORONG AH SOO,42,3,NORTH-EAST REGION
201,7,UPPER PAYA LEBAR,45,3,NORTH-EAST REGION
202,8,TAI SENG,47,3,NORTH-EAST REGION
217,1,NORTHSHORE,2,3,NORTH-EAST REGION
223,3,HOUGANG EAST,27,3,NORTH-EAST REGION
224,10,LORONG HALUS,25,3,NORTH-EAST REGION
225,2,KANGKAR,26,3,NORTH-EAST REGION
228,4,HOUGANG WEST,34,3,NORTH-EAST REGION
231,1,LORONG HALUS NORTH,18,3,NORTH-EAST REGION
234,9,YIO CHU KANG WEST,24,3,NORTH-EAST REGION
236,3,SENGKANG TOWN CENTRE,13,3,NORTH-EAST REGION
237,4,ANCHORVALE,14,3,NORTH-EAST REGION
238,7,SENGKANG WEST,11,3,NORTH-EAST REGION
239,6,FERNVALE,15,3,NORTH-EAST REGION
240,4,PUNGGOL FIELD,12,3,NORTH-EAST REGION
243,5,TRAFALGAR,28,3,NORTH-EAST REGION
249,1,SELETAR HILLS,21,3,NORTH-EAST REGION
250,5,COMPASSVALE,20,3,NORTH-EAST REGION
251,12,YIO CHU KANG EAST,22,3,NORTH-EAST REGION
252,10,YIO CHU KANG,23,3,NORTH-EAST REGION
254,8,TAGORE,17,3,NORTH-EAST REGION
257,2,RIVERVALE,19,3,NORTH-EAST REGION
258,11,YIO CHU KANG NORTH,16,3,NORTH-EAST REGION
260,5,LORONG CHUAN,46,3,NORTH-EAST REGION
262,4,SELETAR,6,3,NORTH-EAST REGION
264,1,SELETAR AEROSPACE PARK,3,3,NORTH-EAST REGION
267,7,CONEY ISLAND,4,3,NORTH-EAST REGION
275,3,MATILDA,10,3,NORTH-EAST REGION
276,5,WATERWAY EAST,9,3,NORTH-EAST REGION
292,2,PUNGGOL TOWN CENTRE,5,3,NORTH-EAST REGION
293,6,PUNGGOL CANAL,8,3,NORTH-EAST REGION
302,3,PULAU PUNGGOL TIMOR,1,3,NORTH-EAST REGION
308,2,PULAU PUNGGOL BARAT,0,3,NORTH-EAST REGION
318,1,NORTH-EASTERN ISLANDS,7,3,NORTH-EAST REGION
329,5,SHANGRI-LA,37,3,NORTH-EAST REGION
330,4,TOWNSVILLE,36,3,NORTH-EAST REGION
16,1,JURONG ISLAND AND BUKOM,67,4,WEST REGION
28,3,SUDONG,75,4,WEST REGION
29,2,SEMAKAU,77,4,WEST REGION
57,8,CLEMENTI WEST,74,4,WEST REGION
60,7,CLEMENTI WOODS,71,4,WEST REGION
61,5,PIONEER SECTOR,48,4,WEST REGION
62,11,PENJURU CRESCENT,73,4,WEST REGION
76,4,GUL BASIN,55,4,WEST REGION
97,6,JURONG GATEWAY,57,4,WEST REGION
102,3,TUAS NORTH,27,4,WEST REGION
105,6,KIAN TECK,47,4,WEST REGION
106,7,SAFTI,42,4,WEST REGION
109,10,JURONG PORT,70,4,WEST REGION
113,2,TENGAH INDUSTRIAL ESTATE,15,4,WEST REGION
114,3,SAMULUN,62,4,WEST REGION
115,4,SHIPYARD,59,4,WEST REGION
119,4,CLEMENTI NORTH,56,4,WEST REGION
122,9,TEBAN GARDENS,72,4,WEST REGION
123,8,JURONG RIVER,66,4,WEST REGION
126,9,PANDAN,76,4,WEST REGION
128,6,CLEMENTI CENTRAL,63,4,WEST REGION
135,5,WEST COAST,68,4,WEST REGION
137,3,BENOI SECTOR,58,4,WEST REGION
138,2,GUL CIRCLE,54,4,WEST REGION
141,2,LIU FANG,61,4,WEST REGION
144,1,JOO KOON,53,4,WEST REGION
146,7,INTERNATIONAL BUSINESS PARK,69,4,WEST REGION
147,1,TUKANG,52,4,WEST REGION
151,2,SUNSET WAY,49,4,WEST REGION
155,3,FABER,60,4,WEST REGION
161,2,HONG KAH NORTH,17,4,WEST REGION
167,6,DAIRY FARM,16,4,WEST REGION
172,5,JELEBU,10,4,WEST REGION
173,2,KEAT HONG,11,4,WEST REGION
176,2,TUAS PROMENADE,35,4,WEST REGION
180,3,BRICKWORKS,23,4,WEST REGION
182,4,GUILIN,22,4,WEST REGION
183,1,WENYA,19,4,WEST REGION
184,7,NATURE RESERVE,29,4,WEST REGION
188,5,HILLVIEW,21,4,WEST REGION
189,1,TOH TUCK,50,4,WEST REGION
193,5,CHIN BEE,46,4,WEST REGION
195,3,TOH GUAN,44,4,WEST REGION
197,2,BOON LAY PLACE,32,4,WEST REGION
198,8,BUKIT BATOK EAST,36,4,WEST REGION
199,6,BUKIT BATOK WEST,37,4,WEST REGION
200,7,BUKIT BATOK CENTRAL,30,4,WEST REGION
203,1,TENGEH,28,4,WEST REGION
204,1,YUHUA WEST,41,4,WEST REGION
208,4,TAMAN JURONG,51,4,WEST REGION
209,4,LAKESIDE (LEISURE),65,4,WEST REGION
212,2,YUHUA EAST,45,4,WEST REGION
213,9,BUKIT BATOK SOUTH,40,4,WEST REGION
214,9,JURONG WEST CENTRAL,38,4,WEST REGION
221,1,GOMBAK,13,4,WEST REGION
230,4,BANGKIT,9,4,WEST REGION
232,4,PENG SIANG,7,4,WEST REGION
241,6,YEW TEE,0,4,WEST REGION
244,1,TECK WHYE,5,4,WEST REGION
245,3,CHOA CHU KANG CENTRAL,6,4,WEST REGION
246,3,FAJAR,1,4,WEST REGION
247,1,SENJA,3,4,WEST REGION
248,2,SAUJANA,2,4,WEST REGION
256,5,CHOA CHU KANG NORTH,4,4,WEST REGION
259,8,YUNNAN,33,4,WEST REGION
261,3,HONG KAH,31,4,WEST REGION
279,4,TUAS BAY,39,4,WEST REGION
280,5,TUAS VIEW,34,4,WEST REGION
281,3,BAHAR,20,4,WEST REGION
282,2,CLEANTECH,26,4,WEST REGION
283,5,LAKESIDE (BUSINESS),64,4,WEST REGION
284,3,PARK,18,4,WEST REGION
285,4,BRICKLAND,14,4,WEST REGION
286,1,FOREST HILL,12,4,WEST REGION
287,6,PLANTATION,24,4,WEST REGION
288,5,GARDEN,25,4,WEST REGION
307,1,MURAI,8,4,WEST REGION
332,6,TUAS VIEW EXTENSION,43,4,WEST REGION
